id,variations_types,stocks,size
IT015317,[],0,0
IT015222,[],0,0
IT004636,[],0,0
IT015223,[],0,0
IT015060,[],0,0
IT012954,[],0,0
IT010809,[],0,0
IT005665,[],0,0
IT005664,[],0,0
IT000229,[],0,0
IT000232,[],0,0
IT011135,[],0,0
IT005662,[],0,0
IT005090,[],0,0
IT000244,[],0,0
IT005667,[],0,0
IT004061,[],0,0
IT005359,[],0,0
IT005668,[],0,0
IT000233,[],0,0
IT000240,[],0,0
IT000226,[],0,0
IT006166,[],0,0
IT009981,[],0,0
IT012761,[],0,0
