id,original_price,sell_price,variations_types,in_stoke
302080,200,195,[],1
305560,250,238,[],1
305787,595,555,[],1
306926,64,63,[],1
311659,768,751,[],1
311698,450,437,[],1
311700,450,437,[],1
311703,450,437,[],1
311704,450,438,[],1
311705,450,437,[],1
311710,450,438,[],1
312169,30,30,[],1
312468,10,10,[],1
314001,94,92,[],1
316323,450,437,[],1
316326,75,73,[],1
318027,5300,5182,[],1
318028,510,495,[],1
319731,25,24,[],1
320288,85,83,[],1
320293,85,83,[],1
320294,145,141,[],1
320295,370,360,[],1
320296,40,39,[],1
320297,15,15,[],1
320870,30,30,[],1
321928,60,60,[],1
322817,945,916,[],1
323628,420,407,[],1
323793,25,25,[],1
325192,70,68,[],1
325469,140,136,[],1
325471,548,532,[],1
325485,495,481,[],1
325720,175,171,[],1
327660,119,117,[],1
328555,295,287,[],1
328556,988,958,[],1
333353,30,30,[],0
333354,30,30,[],0
333355,30,30,[],0
333356,30,30,[],0
334046,110,108,[],1
334054,135,132,[],1
334065,110,108,[],1
334113,190,186,[],1
334114,190,186,[],1
334397,15,15,[],1
334398,15,15,[],1
334399,15,15,[],1
334400,15,15,[],1
334401,15,15,[],1
334402,15,15,[],1
336135,28,28,[],1
336136,40,37,[],1
336835,50,48,[],1
337426,200,194,[],1
337427,200,194,[],1
338400,199,194,[],1
339293,30,30,[],1
339298,120,117,[],1
339299,130,127,[],1
339703,118,116,[],1
339705,290,282,[],1
339708,260,252,[],1
340613,10,10,[],1
340616,49,48,[],1
342753,35,35,[],1
342754,35,35,[],1
342755,75,74,[],1
342857,18,18,[],1
343957,70,69,[],1
343964,45,43,[],1
343971,45,43,[],1
344099,42,42,[],1
344106,30,30,[],1
345121,20,20,[],1
345689,79,78,[],1
350101,45,41,[],1
350102,45,41,[],1
350258,450,437,[],1
350259,800,800,[],0
351359,10,10,[],1
351360,20,20,[],0
352533,410,398,[],1
352848,98,96,[],1
354467,20,20,[],1
354493,10,10,[],1
354494,10,10,[],1
357334,6300,6124,[],1
357688,410,398,[],1
357755,30,30,[],0
358518,43,43,[],1
358607,106,105,[],1
359612,30,30,[],1
359629,45,44,[],1
361042,110,108,[],1
363852,260,254,[],1
363853,230,224,[],1
363989,50,49,[],1
363991,45,44,[],1
364005,25,25,[],1
364126,190,186,[],1
364127,230,224,[],1
364838,45,45,[],0
364839,45,44,[],1
365727,10,10,[],1
366604,185,179,[],1
368666,30,30,[],1
368742,110,109,[],1
370393,60,59,[],1
370394,55,55,[],1
371323,35,35,[],1
371324,35,35,[],1
371325,35,35,[],1
371340,15,15,[],1
371694,175,171,[],1
371695,175,171,[],1
371697,175,175,[],0
372012,30,30,[],1
373588,110,109,[],0
373589,190,188,[],0
373590,160,158,[],0
373591,290,285,[],0
373804,100,100,[],0
374362,30,30,[],1
374363,30,30,[],1
374364,30,30,[],1
374372,30,30,[],1
374374,465,451,[],1
374379,465,456,[],1
374944,25,25,[],0
376223,220,214,[],1
376224,220,214,[],1
376225,220,214,[],1
376499,390,379,[],1
376501,500,485,[],1
376505,160,156,[],1
376506,180,176,[],1
376508,350,340,[],1
376509,350,340,[],1
377278,250,243,[],1
377279,250,243,[],1
377280,200,194,[],1
377958,63,62,[],1
378001,2016,1930,[],1
378333,45,44,[],1
378334,45,44,[],1
378338,80,78,[],1
378339,80,78,[],1
378342,45,44,[],1
378343,45,44,[],1
378344,45,44,[],1
378347,45,44,[],1
379037,160,156,[],1
379218,15,15,[],1
379530,250,250,[],0
379549,362,351,[],1
379550,85,83,[],1
380232,120,115,[],1
380581,250,249,[],0
380657,30,30,[],1
380658,40,39,[],1
380694,5,5,[],1
380737,60,59,[],1
380781,60,58,[],1
382194,100,100,[],0
382892,300,292,[],1
382893,15,15,[],1
382897,300,292,[],1
382898,15,15,[],1
382931,90,88,[],1
383012,15,15,[],1
383868,180,175,[],1
384944,80,78,[],1
385471,54,54,[],1
385488,55,55,[],1
385497,25,25,[],1
385498,25,25,[],1
387788,200,200,[],0
387790,110,102,[],1
387919,295,287,[],1
387920,365,354,[],1
387924,350,340,[],1
387926,340,330,[],1
387928,295,291,[],0
387931,365,356,[],1
387933,375,365,[],1
387947,365,354,[],1
388565,15,15,[],1
388667,410,398,[],1
388735,25,25,[],1
388963,20,20,[],1
390236,15,15,[],1
390246,125,122,[],1
390678,25,25,[],1
391391,30,30,[],1
391392,150,145,[],1
391442,25,25,[],1
391443,25,25,[],1
391445,25,25,[],0
392682,30,30,[],1
392733,480,468,[],1
393172,15,15,[],1
393174,15,15,[],1
