id,tax_class
FR6 (0) 20 002,18
FR6 (0) 20 003,18
FS2 (0) 09 001,18
FS6452,5
FS6453,5
FS6454,5
FT5 (0) 09 001,18
FT6048,18
FT6049,18
FTNVC,18
FTWD,18
FV6 (0) 01 101,18
FVVC,18
FX1 (0) 00 101,18
FX1 (0) 09 101,18
FX1 (0) 71 101,18
FY008-917,12
GC101/02,18
GC1015,18
GC1022/40,18
GC1028/20,18
GC157/02,18
GC158/02,18
GC181/80,18
GC1905/21,18
GC1920/28,18
GC2996,18
GC300,18
GC3920,18
GC523,18
GE6 (0) 09 001,18
GF356,18
GFCDELTVC00000,18
GFCDFCARC00000,18
GFCDFTWD000000,18
GFCDFVOGUE0000,18
GFCDSUPLIT0000,18
GFCDTNDZIP0000,18
GHFJMBXK050,18
GHFMGBNV075,18
GHPHHCAPPK00,18
GHPHHCASBK00,18
GI0 (0) 09 001,18
GI0 (0) 09 002,18
GI0 (0) 09 003,18
GI1 (0) 09 003,18
GI1 (0) 09 004,18
GIV001W,18
GIV002M,18
GIV003W,18
GIV004M,18
GIV005M,18
GIV006W,18
GIV007W,18
GIV008M,18
GIV009M,18
GIV010W,18
GNM001,18
GNM002,18
GNM003,18
GUCC001W,18
GUCC002M,18
GUCC003W,18
GUCC004W,18
GUCC005M,18
GUCC006W,18
GUCC007M,18
GUCC008M,18
GUCC009M,18
GUCC010W,18
GUE001,18
GUE001M,18
GUE002M,18
GWPDAMRIT00003,18
GWPDASAOT00000,18
GWPDPITCH00002,18
GWPDPPFMCBLK00,18
GWPDXTUFF00000,18
H-23_Golden,18
H-23_Grey,18
H-25_Golden,18
H-25_Grey,18
HA02,18
HB1 (0) 51 002,18
HB1 (0) 70 002,18
HB2 (0) 08 003,18
HB2 (0) 09 001,18
HB2 (0) 09 002,18
HB2 (0) 51 002,18
HB2 (0) 51 003,18
HB4 (0) 08 003,18
HB4 (0) 09 002,18
HB4 (0) 17 001,18
HB4 (0) 41 002,18
HB4 (0) 51 003,18
HB4 (0) 70 001,18
HBA574BR0Z,18
HBF010BR0Z,18
HBF113BR0Z,18
HC000001-ADP-BLK,18
HC000001-HDM,18
HC000002-ADP-WHT,18
HC000003-ADP-WHT,18
HC000003-HDM,18
HC000004-ADP-BLK,18
HC000005-ADP-WHT,18
HC000005-SRG,18
HC000006-ADP-BLK,18
HC000006-HDM,18
HC000006-LAP,18
HC000007-HDM,18
HC000007-LAP,18
HC000008-HDM,18
HC000008-LAP,18
HC000009-HDM,18
HC000010-CHG-WHT,18
HC000010-HDM,18
