id,store_id,cover,name,images,original_price,sell_price,discount,kind,cate_id,sub_cate_id,in_home,is_single,have_gram,gram,have_kg,kg,have_pcs,pcs,have_liter,liter,have_ml,ml,descriptions,key_features,disclaimer,exp_date,type_of,in_stoke,rating,total_rating,status,in_offer,variations_types,size,tax_class,tags,hsn_code,brand_id
421137,49,421137.jpeg,Open Secret Nutty Chips Lemon Chilli Almond Butter 30G,"[""421137.jpeg""]",40,37,8,1,5,43,1,1,1,30,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|13660|5401|1241,0,870
404749,49,404749.jpeg,Tong Garden Dehydrate Fruits Dried Mango 150G,"[""404749.jpeg""]",350,319,9,1,2,26,1,1,1,150,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13170|13194|5748|12408,0,767
404746,49,404746.jpeg,Tong Garden Oven Roasted Salted Almonds 145G,"[""404746.jpeg""]",295,269,9,1,2,26,1,1,1,145,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13170|13194|5748|12408,0,767
404757,49,404757.jpeg,Tong Garden Roasted Sunflower Kernels Salted 200G,"[""404757.jpeg""]",150,137,9,1,2,26,1,1,1,200,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13170|13194|5748|12408,0,767
404755,49,404755.jpeg,Tong Garden Salted Cashew Nuts 160G,"[""404755.jpeg""]",325,296,9,1,2,26,1,1,1,160,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13170|13194|5748|12408,0,767
404747,49,404747.jpeg,Tong Garden Salted Cocktail Nuts 160G,"[""404747.jpeg""]",295,269,9,1,2,26,1,1,1,160,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13170|13194|5748|12408,0,767
404752,49,404752.jpeg,Tong Garden Tropical Nuts & Fruits Mix 180G,"[""404752.jpeg""]",350,319,9,1,2,26,1,1,1,180,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13170|13194|5748|12408,0,767
404744,49,404744.jpeg,Tong Garden Salted Pistachios 140G,"[""404744.jpeg""]",390,355,9,1,2,26,1,1,1,140,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13170|13194|5748|12408,0,767
422541,49,422541.jpeg,Too Yumm Chips American Style Cream & Oinon Potato Chips 52G,"[""422541.jpeg""]",20,19,5,1,5,43,1,1,1,52,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5749|5401|1241,0,768
422622,49,422622.jpeg,Too Yumm Chips Indian Masala Potato Chips 52G,"[""422622.jpeg""]",20,19,5,1,5,43,1,1,1,52,0,0,0,0,0,0,0,0,,,,20-12-2050,0,1,4,5,1,0,[],0,12,13150|13539|5749|5401|1241,0,768
