id,name,kind
416282,Suhana Pav Bhaji Easy to Cook 60 g,1
416316,Suhana Chicken Gravy Mix 40 g Pouch,1
416317,Suhana Chicken Biryani 25g Pouch,1
416624,Everest Tandori Chickn Masla 50 g,1
416625,Everest Royal Garam 50 g,1
416631,Everest Shahi Paneer 50 g,1
416633,Everest Rajma Masala 50 g,1
417683,Sakthi Garam Masala 50g,1
417689,Sakthi Super garam Masala 50g,1
417691,Sakthi Rasam Powder 50g,1
417692,Sakthi Pepper Powder 50g,1
417695,Sakthi Turmeric Powder 50g,1
417696,Sakthi Chilli Powder 50g,1
417709,Sakthi Coriander Powder 50g,1
418990,Yellow mustard Super saver pack 200 g,1
420447,Nutraj Flax Seeds 200g,1
420449,Nutraj Pumpkin Seeds 200G,1
420463,Catch Ginger Garlic Paste 200 G,1
420464,Catch Ginger Paste 100 G,1
420706,Maggi Classic Veg Fried Rice Instant Spice Mix 75 G,1
422452,Anise Star Loose,1
422489,Keya Kitchen King Masala 100g,1
422491,Keya Nawabhi Meat Masala 100g,1
422492,Keya Shahi Garam Masala 100 G,1
422493,Keya Shahi Chicken Marsala 100g,1
425464,Smith & Jones Peri Peri Masala 48 G,1
425465,Smith & Jones Pasta Masala 54 G,1
425470,Smith & Jones Mutter Paneer Masala Mix 75 G,1
425486,Smith & Jones Shahi Paneer 60 G,1
425488,Ching's Paneer Chilli Masala Mix 60.G,1
425494,Ching's Chicken Chilli Masala 20 G,1
284265,Catch Garam Masala 100 G,1
284787,Catch Meat Masala 100 G,1
284304,Catch Red Chilli Powder 200 G,1
